topic_dummy,absa_ai_score,absa_human_score,admiration,gratitude,love,sadness,grief,nervousness
topic_alarm / thursday / tonight,0.018241816805681987,,-0.008635637284202306,-0.007681989509877704,-0.007196004461299559,-0.004550166927084783,-0.004889394914409255,-0.002421013752912374
topic_alex / theo / journal,0.018241816805681994,0.03324987497896758,0.002682619565691595,-0.006354260374050366,0.010244610969775084,0.023070954622805076,0.027995214689144378,0.005456826802849612
topic_amazon / authentic / voice,,,-0.008401048471085302,-0.010547042606620049,-0.007994012164624663,-0.006486206993569487,-0.0055856051419380425,-0.0034217469483598705
topic_anniversary / happy / discouraged,0.01824181680568201,,0.003255059050348553,-0.005971227614079688,-0.0005401703348826596,-0.004760365190397419,0.0020224475605738106,-0.0009219761199665612
topic_annoying / normal / noticed,-0.052924498979262685,,-0.017193212895489255,-0.01445115947033068,-0.017007804020008233,0.002319349220837622,-0.001835990698596588,0.0030952629144868323
topic_api / replit / sol,-0.015626674673146074,,-0.010128018225551283,-0.003140677847263761,-0.013405140452890886,-0.0014135775778551158,-0.005860796879186814,-0.005119047278987478
topic_app / mobile / iphone,,,-0.01352071359305825,0.00632251307609522,-0.01543705435528701,-0.0035282271151681225,-0.0023360372751519915,-0.006375586227569091
topic_app / planning / advertising,-0.009012782866921561,,-0.009243796026431245,-0.007310053852882584,-0.007382229010089166,-0.0023673941103403502,-0.003205533802236847,-0.002866195116679992
topic_art / drawing / sketch,0.02580445570826935,0.04706014771382996,0.031926125992514306,-0.006669825577723369,0.026755881117568818,-0.0048334476367829105,-0.004590728123740852,0.026690726063640004
topic_ash / room / rooms,0.02038604089069785,-0.05020864655458563,-0.0072688962980196935,-0.006888023619311941,0.0188914255105204,-0.0013932169133783912,0.0035079171113854856,-0.0036858656077108083
topic_ask / like instead / super annoying,-0.00901278286692157,,-0.007976415068493937,-0.007324445713812054,-0.0027792218869364324,-0.00522016148005148,-0.00557108546931087,-0.0027687488899157567
topic_autonomous / robots / murder,,,-0.01429308552569495,-0.01232036009205403,-0.009404743490680165,-0.008542439057538905,-0.009773304510479761,-0.004591785925469938
topic_average / child / typical,,,-0.011092416155432612,-0.008291406040012744,-0.012214311433586653,0.003254518528785063,-0.0042703976050890834,-0.004152173195062592
topic_awful / sorry / sorry happened,,,-0.01074224051986286,-0.007869056907288797,-0.008021778345063997,0.05961707903798958,0.04212203505700886,0.0124932306868852
topic_bait / click bait / click,-0.05833617795382965,0.03324987497896757,-0.02214530677851698,-0.01194552032553398,-0.016578498965868493,-0.012441098989728214,-0.01402139153810351,-0.0061926058348752665
topic_banned / alt / hearts,,-0.05020864655458564,-0.009952064216272958,-0.0044884395874353385,-0.0053206883999351775,-0.005544889382987846,-0.006100590028058454,-0.0033203564252256854
topic_beautiful / looks amazing / gorgeous,,,0.08760735661466466,-0.0037234080734919817,0.004483522515603571,-0.006748341988179702,-0.007570244679068217,-0.0043772160642942285
topic_beautiful beautiful / beautiful,,0.03324987497896757,0.10896759212230413,-0.009161031108994157,-0.0035673806565438126,-0.007078702953826684,-0.00820282929363818,-0.004715927468862669
topic_beautifully / wise / words feel,,,0.029893901137969765,-0.005388654963722247,-0.006582621786178261,-0.005020044567717574,-0.0058013214008929915,-0.003211220938512702
topic_blind / screen / pok mon,,,-0.011022168452860132,-0.009058591424026962,-0.009103067788901277,-0.0014301222718764298,-0.0038463788033200634,-0.0036211368386254326
topic_bob / adhd / bobs,,,-0.005261426188767095,-0.0005134639670709382,0.006076298988978556,-0.005622900004916805,-0.004970406645873008,0.004430760497029107
topic_bob / steve / haha,,,0.0035131285762216202,-0.0008514955670848192,0.017498870139249022,-0.009304209733137557,-0.008888928054295336,-0.005354938556171202
topic_bold / poster / black,0.018241816805681984,,0.004781029278416924,0.0042125367673291,-0.0004726457919185995,-0.005004007287120722,-0.005509355510758634,-0.002975337744562672
topic_book / books / bell,,,0.01686485717325041,-0.005915809371277676,0.021451697717613436,-0.007876946797362543,-0.00700820187629443,0.0009778776733717518
topic_born / lunch / schedule,,,-0.007070045668920247,-0.007132539446848393,-0.00698633570889831,-0.0035744277349888105,-0.004123743608912423,-0.0017526371627985132
topic_boss / cael / recovery,,,0.003100931884704887,0.006887886164302406,-0.0053672299623306104,0.034473995445309796,0.040760562996435296,0.007121263438161043
topic_bot / bots / wing,-0.030984541227114734,,-0.009435028036846831,-0.007560300837795837,-0.006633913540008402,-0.008172872611640942,-0.009358041156712033,-0.004702601891531707
topic_bug / fixed / error,-0.043830021442112406,,-0.008750007920542499,0.00010867310516020606,-0.009398479639346424,-0.005366271670242046,-0.0038082473557261814,-0.0019099516092904796
topic_captain / ship / mate,,,0.00977668108146811,0.0023710315104263774,-0.006996094961138867,-0.005782538297976604,-0.0050157466649578975,-0.0025452091703962168
topic_cari / dragon / adopted,,,-0.00343044616127672,0.031004188411514776,0.008646892368904844,-0.0023476650514254504,-0.002374100087181073,-0.003328523881179954
topic_chat gpt / gpt / chat,0.011879615075759091,,-0.008027959280909023,-0.013767522409705439,-0.011014297409592203,0.0010865073817360317,-0.0021312354298191035,-0.002160652231447651
topic_chatbot / chatbots / convo,,,-0.00692543503116268,-0.006755237403629814,0.0007288005928694166,0.0006947690326265378,-0.00296196501815198,-0.001722283610438728
topic_chatgpt / chatgpt app / did chatgpt,-0.030984541227114762,,-0.013119529891676047,-0.0053768445645348325,-0.01038641832215815,0.002421425473720375,0.0051719939403880085,-0.0029423649244845734
topic_chatgpt / claude / excel,-0.006371362210716394,,0.000804558440839791,-0.00823975446132051,-0.00782909765490631,-0.0018106466386165721,-0.0045323454887259635,-0.002634411550167038
topic_chatgpt chatgpt / chatgpt / chatgpt just,-0.03947666539498535,,-0.02147532876334864,-0.014985391591046827,-0.010177027964125496,-0.006201742592014997,-0.009908401654706396,-0.006856431521449752
topic_chats / chat / new chat,-0.016883087385535726,,-0.02370224280826139,-0.018126345825174993,-0.017427286445613033,0.00010975662320379445,-0.001441586073372806,0.01684542872840696
topic_chin / head / tilted,0.018241816805682026,-0.05020864655458564,0.006053552181477043,-0.006605313957208347,-0.005028810969399829,-0.007697110806522767,-0.007856105319732817,-0.004103538426476088
topic_chocolate / vanilla / tea,0.03161200231130072,0.08177350484739776,0.004188623740104642,-0.010306276272417156,0.011295929426030771,-0.011552898480043223,-0.01303492437896499,-0.006213883359676149
topic_clarifying / clarification / didn know,,,0.00560145819830663,0.08561631832061199,-0.009197019608550681,-0.0067734121893786945,-0.0065968269861447085,-0.00438350127948752
topic_claude / blah / love claude,-0.009012782866921532,,0.010585756445809152,0.0005299968810113407,0.017023247159872978,0.009254179409549644,0.0035430350524464113,-0.0019492342926584196
topic_claude / chatgpt / chatgpt claude,-0.025258931853728163,,-0.0035612475029285526,-0.011613556078047406,-0.0067686333291278695,-0.008604938556720334,-0.00946455604769338,-0.0039737548784892695
topic_claude / claude claude / claude amazing,0.024889860437645097,0.0332498749789676,0.025645207266608863,-0.018552325350089393,0.016362264806125272,-0.00026196215746631773,-0.005282210134087589,-0.008709396888248124
topic_claude better / use cases / coding,0.0031765352287863,0.033249874978967614,0.003831428799800176,-0.008894631276536722,-0.008080628145244295,-0.0067092469433770695,-0.0076774875677980674,-0.0038456936501538503
topic_claude gemini / gemini / claude,0.018241816805681998,,0.011463762049160085,-0.009639890310275975,0.0014126928423079923,0.012853713812934979,0.012351716796844096,0.019200065710080136
topic_cogsuckers / trolls / downvote,,-0.07106271301365484,-0.010951003841447022,-0.008699089420069361,-0.009226572333382258,-0.002586009303100086,-0.0049023794940575415,-0.0025429202746167653
topic_companies / money / company,-0.0373847311489545,-0.0871036279891142,-0.01872718868870489,-0.019651231351884853,-0.018391821086895705,0.005409450585648853,-0.0017111583927856646,-0.0018899746711364066
topic_companions / companion / multiple companions,-0.03947666539498542,,-0.006151259431878872,-0.007565330502482013,0.0034980317913853405,-0.0017214765388854042,-0.002855940398286216,0.0019699973493767313
topic_congrats / dude,0.018241816805682015,,0.037444195451652944,0.05371226350766313,-0.007588473458625221,-0.00618966266323017,-0.005759111374623288,-0.003886336270397719
topic_congratulations / mission / proud,0.02580445570826936,,0.028175409398082895,0.015485202826107932,-0.005849546551312942,-0.007736343768097671,-0.001688658087762698,-0.003589372629400869
topic_cool / awesome / really cool,0.031612002311300694,0.03324987497896759,0.08411475286448396,-0.007552881699534598,-0.006227742578922856,-0.009130375224604153,-0.010307791669900668,-0.005480758069669223
topic_cough / companion claude / companion,0.0031765352287862767,0.033249874978967586,0.0014547955676654744,0.0023057170379432307,-0.0039574430253635495,0.011702132117665258,0.009117245708873355,-0.0008752315112200505
topic_cousin / avery / family,-0.030984541227114734,0.033249874978967545,0.00071947721475317,0.009220156433317873,-0.00317221816063969,-0.004596965924860088,-0.003406628872443011,-0.0027023981371624307
topic_cozy / thank sharing / sharing,,,0.01445684274263906,0.05144955925980357,0.05812407242775485,-0.005473126949420008,-0.0020025939745183753,-0.0031165057983110114
topic_cringe / smut / cope,-0.07599400719024017,,-0.0029862086353818888,-0.0085310485215583,-0.006038318736355751,-0.0028662151872084463,-0.003951403553146167,-0.0026507788489610815
topic_critical / bullet / instruction,-0.009012782866921521,0.03324987497896758,-0.012797714013468516,-0.0070387377196487804,-0.013599013481622796,-0.008950715061952545,-0.010255053786298112,-0.001598426836971333
topic_crying / tears / tear,-0.012752558036597672,,-0.0005801172314737869,0.012198029104271058,0.004481104833067831,0.2408739532177326,0.2958461672177385,0.00887747430791037
topic_cute / adorable / congrats,0.025804455708269374,0.04706014771382987,0.11094635718774017,-0.0013053436020701162,0.0404560514220587,-0.009706760652449185,-0.009818862631036552,-0.006169692010247607
topic_cute / adorable / god,,,0.058118746378477706,-0.007550090180670313,0.019939146788301852,-0.00543360763249325,-0.006142167060961206,-0.0035135381716672877
topic_cute / cute cute / adorable,,,0.0782428614598872,-0.007075317650331489,0.0035526369783442334,-0.005405108982232999,-0.006398927073836045,-0.00356753356012512
topic_cute cute / cute / creepy,0.018241816805681987,,0.09421705766583378,-0.006660742352191557,0.003058826899820426,-0.008125341029089472,-0.009799257127839732,-0.0047835053790605195
topic_daddy / baby / father,0.025804455708269353,-0.050208646554585575,-0.007668665785890725,-0.011218858738836641,-0.005854216564830372,0.010719376531294391,0.01448538010758089,-0.002612280877212311
topic_deepseek / use api / api,0.018241816805682,,0.0023280329916016817,0.009565137040267086,0.003007112344936004,-0.005966173565204649,-0.004987692115709211,-0.0036207279168186213
topic_deleted,,,-0.032826963928240714,-0.02636232685896949,-0.026431891239439332,-0.01842151811219903,-0.01896334675685498,-0.011784546851865845
topic_delicate / elegant / coat,0.034253165583025214,0.06666018384600511,0.017408454652512517,-0.01095062247833062,0.0050332758692193435,-0.006371942164121664,-0.007752546403496042,-0.004665213757792987
topic_depreciation / march / deprecated,-0.02642140215451701,,-0.005062661238121157,0.003808176527471737,-0.007928384777826371,0.0026678508636304886,0.0017775974522937056,-0.0026776032498497943
topic_desperately / mateo / painting,,,-0.010688351479537986,-0.008610039540227075,-0.008290901957043222,0.00543367067180754,0.0037240744834293807,-0.003409588105835331
topic_disagreements / rule / respectful,,,-0.0028924253970609103,-0.005654946255263924,-0.007097934920669448,-0.00541091781465531,-0.006848187754119788,-0.003364966341405097
topic_discord / server / interested,0.01824181680568201,,0.007197770762682189,-0.009669242494994871,-0.008480054997367854,0.0013574038553381233,0.006062468548148071,-0.0017604467084775437
topic_doing just / understandable / pressed,,-0.05020864655458564,-0.011695262895729848,-0.010050374474235893,-0.009912122952907379,-0.007211015141873182,-0.00829253675988557,-0.0008539235721484722
topic_doom / kins / kindroid,,,0.0005092811291658639,-0.00482709491346501,0.0007139910543195948,0.004625375318992988,0.004220929503751049,-0.0028719357533623555
topic_downvotes / downvoted / trolls,0.01824181680568198,-0.13348288721554277,-0.01730696098228141,0.007606293316893833,-0.007810264005563222,-0.0010565747135376842,0.002796991163598608,-0.00011946047142844227
topic_dragon / dragons / wise,-0.030984541227114765,,0.009611071419321597,0.004330446892609332,0.015577062933138965,-0.005746900468985234,-0.00554205620520144,-0.002390005300981503
topic_draw / image prompt / write,,0.033249874978967586,-0.015056004931984605,-0.013049690949370928,-0.010327685377051905,-0.009766346089608984,-0.011782996092836152,-0.005672724057641433
topic_drew / school / venus,0.01824181680568203,,0.0029230466714039445,-0.007382639158731308,0.0011978527162983938,0.00344685080627401,-0.0016050108348711078,-0.002610521046392528
topic_drones / drone / china,,,-0.008702329557223472,-0.007106830586175599,-0.007143900487449062,-0.005282676051549839,-0.006588861348299666,-0.0030574336377406685
topic_eli / tonight / want make,-0.03098454122711478,,6.965977694263877e-05,-0.006076162636984795,-0.005132734003249066,0.02004074821535688,0.013286174577791183,-0.002019665364372899
topic_elias / good thanks / tame,0.025804455708269333,0.057682987684280436,0.008874387608886869,0.015607157179024035,0.005880935283442019,-0.00504174649863999,-0.004539571119926923,-0.0016690922274944634
topic_emoji / emojis / okay,-0.009012782866921538,,-0.007701735239810238,-0.0012685927650019208,-0.001807801800028301,-0.004401644595197262,-0.005488700335779619,-0.003435921359678515
topic_est / pour / genre,0.01739426877004346,,-0.003124287281983409,-0.007407490812294838,-0.006026043617664267,-0.005333065813144542,-0.0060336546084820445,-0.003368042220278597
topic_evidence / god / bible,,,-0.00835721409510859,-0.013774664288752583,-0.013809844937034983,-0.008442646399267348,-0.01094037200067115,-0.005863184068038189
topic_exactly / yeah exactly / yes exactly,,,-0.007596321459582584,-0.007878763311853325,-0.007633663710959885,-0.005914194987672602,-0.006811075167665435,-0.003475907947441532
topic_exercise / stet / popped,-0.012752558036597661,,-0.010627555526597287,0.0007542552157927941,-0.008703440912198317,0.006954129175052168,0.004224621027794773,0.04065733045186906
topic_experienced / loss / grief,,,-0.007311274727705427,-0.006235865471987511,-0.005297399069110545,0.07455956549654406,0.07995544934286347,0.01802834662513437
topic_fair point / point / good point,,,0.009669621052321954,-0.0018485352361624575,-0.008195128828597168,-0.006182029553797546,-0.007647480209994163,-0.0038366930677570603
topic_fake / post / legit,,,-0.012289708718742638,-0.010038972191791303,-0.010073078998883036,-0.004543609334873099,-0.007859066545624396,-0.004260063618462632
topic_fantastic / amazing / awesome,0.01824181680568202,0.033249874978967614,0.08278488088183387,-0.007834800668375958,0.0373387824157238,-0.008883470641472786,-0.009744248391698076,-0.005588673017349488
topic_far good / good / girl,,,0.056533091816834885,-0.006376659047371334,-0.00010813810480290072,0.0077025518872792294,8.767178798941556e-05,-0.0027593532208189694
topic_featured / performed / flair,,,0.05749264801698204,0.0003786937660930188,-0.007247450324543422,-0.00603680185432893,-0.006989438211615428,-0.0037590624182253733
topic_files / threshold / rag,,,0.000188013489155546,-0.00173033460028832,-0.0044905279361837375,-0.005575538577547693,-0.005502044579332762,-0.0024252723537606545
topic_fired / company / views,-0.03098454122711479,-0.05020864655458557,-0.002870281416912583,-0.007743539923950747,-0.011973269674542264,-0.007263122494449997,-0.008178920803620584,-0.004399688777660306
topic_food / eat / pets,-0.030984541227114734,,-0.011238482554928474,-0.012266018059718532,-0.007080100415271657,0.002529612103197832,0.003597391051417229,0.0007152243041146329
topic_free share / feel free / share answer,0.025804455708269346,,-0.0037243454461387314,-0.0061584536327573,0.002092944179619295,-0.005085078680547194,-0.008703266451523922,-0.004541526942968962
topic_friday / week / hello companions,0.02580445570826935,0.0470601477138299,-0.0010619146115661959,0.0027324372196460014,0.008355459665059869,-0.007920422156996154,-0.002382118326751307,-0.0005971891358694354
topic_fun / thank fun / fun thank,0.02580445570826935,0.04706014771382988,-0.002469754258692761,0.007452332892736821,-0.011466505998098817,-0.009544376383937445,-0.009554750051603,-0.005113125000067826
topic_future / probable / witness,,0.03324987497896758,-0.002311120726191409,-0.007959936878614174,0.0019978178769624482,-0.005782608759974444,-0.006354046813719663,-0.003171218454978568
topic_garden / half / light,0.03161200231130069,0.07458843052945087,-0.010364545712242162,-0.0033126429031867096,0.008920717899169846,-0.010161837562222354,-0.01004920874460355,-0.008824876298374482
topic_gemini / gem / google,-0.010983744934897403,-0.07106271301365484,0.009961159883214214,-0.007958857898435144,0.0015956468109772695,-0.0052536169256875796,-0.005872799733207958,0.008805889620707842
topic_gift / holiday / tag,,,-0.0030303079649869804,-0.008003182171280585,0.006107246774947138,-0.0055886150324435425,-0.004572149380416343,-0.0012453479184650331
topic_glitch / glitching / disappear,0.00839583642067388,,0.00011651671958416288,-0.007600162861517973,0.0009554317076476833,-0.005363380693102285,-0.00490387548114258,-0.001097121890768385
topic_glm / open router / router,0.00839583642067391,,-0.002423585602500525,-0.0009128006488740348,0.0006176829698142306,-0.005200169805595641,-0.005541486015990981,-0.001492303893113585
topic_goblin / word / use word,-0.06734890798869198,,-0.013679319003357305,-0.011872349074056977,-0.007819547470773573,-0.006562826207281273,-0.007957864532330088,-0.0035117760056309335
topic_good place / spell / play,,,-0.006320016006802328,-0.007399972671139028,-0.005943660333713292,-0.004713656574892059,-0.004701126611749767,-0.0027432578828060906
topic_gorgeous / look great / wow,,0.033249874978967614,0.08115422835849803,-0.007130798019616293,-0.0004661328000368588,-0.005433128572002945,-0.0062905282076368635,-0.003550083988457394
topic_goth / vampire / shadow,0.04474065784394799,,0.005698174660214398,-0.012520473743508885,-0.004293507172492496,-0.0074330165399776665,-0.007640704751796525,-0.005227837491165735
topic_gpt / claude / gpt doesn,-0.009012782866921533,,0.0052566517256673745,-0.00972930289633733,-0.003794501360651856,-0.004508749806805777,-0.004111397489011112,0.0001564051096263208
topic_gpt / gpt thinking / custom gpt,-0.056266205164755015,0.03324987497896759,-0.014819716157203771,-0.016237116191740786,-0.02270386313612291,0.0006661589048017487,4.342692526221012e-05,0.009234551127260324
topic_gpt / sunset / legacy,-0.030984541227114745,,-0.005703362517485879,-0.009408346255454803,-0.008801114287635286,-0.005083231967839126,-0.004468246140203424,0.005550064252526325
topic_gremlin / gremlins / goblin,-0.03629882085718496,,-0.010254994707731268,-0.00852523340634339,-0.0009995455041250227,-0.005698664236648379,-0.006140938990085462,-0.002400190517875172
topic_grok / elon / tried grok,0.061907678785606844,-0.016999685438639837,0.013898248143462017,-0.019322197316705366,-0.0049226659160049435,-0.005099270948851396,-0.009193377787233463,-0.0026260855574282978
topic_group / group chats / chat,0.018241816805681998,,0.004440629430411752,-0.0017273194896916364,-0.007381529194484922,-0.005815300606467716,-0.006112291558499535,-0.0031727549545798113
topic_guardrails / guardrail / rails,-0.031761390691784464,-0.03884142276464935,-3.079603350237181e-05,-0.009062771322001345,-0.012978532607248912,-0.00015937710160067366,-0.0023460178347900914,0.0011620235518170583
topic_guide / useful / appreciated,0.018241816805681967,,0.01652366136475033,0.01853479699022732,-0.0006204625084707354,-0.0058200282856924156,-0.005499132193370345,-0.0036275540649405072
topic_hahaha / wtf / oooo,0.018241816805682005,0.0332498749789676,-0.005028626474372058,-0.018661886056757497,-0.008514694026150798,-0.01309581154117964,-0.013359328711202203,-0.007935685131665789
topic_haiku / sonnet / opus,-0.026200369454594082,,0.0028859813235850547,-0.006251676297445364,-0.0035409293952498554,-0.007963130190310821,-0.008777166232869678,-0.004467617848471814
topic_hallucinate / hallucination / hallucinating,,,-0.007855592433925003,-0.0002320298149601711,-0.006850136696990929,-0.0049577090521603145,-0.004422684993852909,-0.00040508698741646384
topic_hand / shoulder / right hand,,,-0.008233292136253227,-0.007067198056926182,0.0020983629679790223,0.00786176057187504,-0.00010089894510745427,-0.0021711468843039435
topic_happier / claude / insisted,0.0031765352287862624,,0.014436499304438537,0.0004762028255222898,0.011803020216617026,0.01894968438230898,0.02031941191700475,0.019064286277182416
topic_happy birthday / birthday / cake,,,-0.006487937265446949,-0.006522698684676746,-0.003932729815430531,-0.008772648931902317,-0.002946742171871792,-0.002731500856348763
topic_happy holidays / holidays / christmas,,,-0.00542655559464302,0.003267739992075594,0.025798118475370013,-0.005476730287701882,0.0012151825085876464,-0.0009351388306124746
topic_happy new / new year / year,0.018241816805682,,-0.006834845789287696,0.0023320577120964528,0.0038422556503499073,-0.010805356841331078,-0.00651547948119959,-0.0036668639241911475
topic_hate / references / people guess,-0.02525893185372817,,-0.00811707567233489,-0.00995861388566397,-0.0028478144695586577,-0.0043294243795081585,-0.004304064391839216,-0.0030731847417850375
topic_hear / good hear / great hear,,0.03324987497896759,0.016373908329311935,-0.005935729244904579,0.019876876747198322,-0.0046599135436861125,-0.004155116843581625,-0.0028252922018354313
topic_heat / north / mass,,,-0.006101826920468454,0.02828805681067734,0.006866141253539205,0.005491713086497226,0.016027548197624888,0.002536006786590823
topic_hello / welcome / happy holidays,0.018241816805681987,,-0.006780567606872153,0.03283553129498317,-0.005052302108064569,-0.008792247990907326,-0.0077844950644246815,-0.004940481316110794
topic_helpful / thank / helps,,,-0.004097537807114499,0.09489486035825409,-0.012287673175787616,-0.008983450025202048,-0.006628765864011372,-0.005444344436680727
topic_hilarious / funny / hysterical,-0.030984541227114772,-0.050208646554585644,-0.0009602372354833616,-0.007423127881909681,-0.00599634295295837,-0.007602021772362696,-0.008076028422879298,-0.0027903479002330325
topic_hitler / nazi / comparison,,,-0.013642272350231925,-0.011976061284672133,-0.0037127665138407782,-0.008362310191975968,-0.009578310471569571,-0.0016046097044952281
topic_hold / best model / emotionally hold,,,-0.008223300760593346,-0.0077946878331350425,0.002663069465494949,-0.0006728632345500294,-0.0013287881450216857,-0.002121654007282922
topic_hope / hopes / hopefully,0.018241816805682015,,-0.01112349057815842,-0.009113130673159562,-0.00925537699168708,0.004158723529896663,0.0063060067674404275,-0.003601237792855322
topic_hosting / run / locally,0.003176535228786263,,-0.001947472349170893,-0.008237995962306267,-0.004103278237533619,-0.005113413209320128,-0.004347874817976872,0.0009275241856241715
topic_house / water / clean,,,-0.011202555993415166,-0.01425125456298413,-0.002093169084280637,-0.0024921874939086252,-0.007484765364946363,-0.004698130633780515
topic_hugs / hug / sending,-0.009012782866921547,-0.012001282649912442,-0.0025839395599014246,-0.002574508488762325,0.03398320698018538,0.04017936346244616,0.058457057626872644,0.012843934446877496
topic_humor / joke / laugh,0.020386040890697826,,-0.009074848401869942,-0.007147746986293393,-0.00839791346512512,0.0009931118017628576,0.0023073181246792344,0.005785891168498369
topic_idea / good idea / great idea,0.018241816805682022,0.047060147713829936,0.07050556262547089,0.04007223873207829,0.016005048358683206,-0.00878007848950047,-0.008507918468113693,-0.0053228628626137515
topic_image / generator / chatgpt image,-0.01426146376054039,0.033249874978967586,-0.003919317304730656,-0.00867442804759054,-0.008990641495327316,-0.007861727453118616,-0.007376487683407752,-0.0033473894343795337
topic_image / images / generator,0.008395836420673894,,-0.0026801829361918334,0.009718980157688326,-0.009018911387312105,-0.00581836520861528,-0.005716075367578211,-0.0036656476229414117
topic_images / pictures / beautiful,,0.08177350484739783,0.11319629332304361,0.029813053404368118,0.06479232283890664,-0.012357080023515536,-0.010651584543885779,-0.008006863078356031
